zinc_id,smiles
ZINC000003869580,CN1C(=O)[C@@H](O)C[C@H]1c1cccnc1
ZINC000003869640,C[C@@H](NC(C)(C)CO)C(=O)c1cccc(Cl)c1
ZINC000003871017,C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@@H]3[C@@H]1CC[C@@H]2O
ZINC000003881635,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
ZINC000004096817,C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
ZINC000004096986,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1CC(=O)CCCCC(=O)O
ZINC000004098984,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C(C)(C)CCC1
ZINC000004099002,COc1cc2c(cc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
ZINC000004099004,C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CCC2=O
ZINC000004099164,N[C@@H](CCC(=O)N[C@@H](CS[C@@H]1CCO[P@](=O)(N(CCCl)CCCl)N1)C(=O)NCC(=O)O)C(=O)O
ZINC000004213449,O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000004214681,CN(C)CC/C=C1\c2ccccc2C[C@@H](O)c2ccccc21
ZINC000004214983,CCOC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
ZINC000004228232,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
ZINC000004228266,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1
ZINC000004228267,CN1c2c(nc(N)[nH]c2=O)NC[C@H]1CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1
ZINC000004474603,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
ZINC000004654886,NCCc1ccc(O)c(OS(=O)(=O)O)c1
ZINC000004654887,NCCc1ccc(OS(=O)(=O)O)c(O)c1
ZINC000004658606,CS(C)(=O)=O
ZINC000004685854,Cn1c(=O)[nH]c(=O)c2[nH]cnc21
ZINC000004805034,CN1[C@H]2CC[C@@H]1[C@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2
ZINC000005116153,COc1ccc2nc([S@](=O)Cc3ncc(CO)c(OC)c3C)[nH]c2c1
ZINC000005116154,COc1ccc2nc([S@@](=O)Cc3ncc(CO)c(OC)c3C)[nH]c2c1
ZINC000005116994,NC(=O)c1c[nH]c(=O)cn1
ZINC000005133120,NCCC1=CC(=O)C(=O)C=C1
ZINC000005134113,N[P@]1(=O)OCCCN1CCCl
ZINC000005134119,N[P@@]1(=O)OCCCN1CCCl
ZINC000005134248,O=[P@]1(NCCCl)NCCCO1
ZINC000005140706,CN(CCC[C@H](O)c1cccnc1)N=O
ZINC000005140707,CN(CCC[C@@H](O)c1cccnc1)N=O
ZINC000005140766,CN1/C(=C(\O)Nc2ccc(O)cn2)C(=O)c2sccc2S1(=O)=O
ZINC000005140767,CN1C(C(=O)Nc2ccc(O)cn2)=C(O)c2ccccc2S1(=O)=O
ZINC000005140888,CN1C(=O)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C[C@H]1c1cccnc1
ZINC000005159450,C[N+]1=CCC[C@H]1c1cccnc1
ZINC000005159763,CC(=O)C[C@H](c1ccccc1)c1c(O)oc2cc(O)ccc2c1=O
ZINC000005163012,O=C(CSc1ccncc1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CO)CS[C@H]12
ZINC000005181060,O=[P@]1(NCCCl)OCC[C@@H](O)N1CCCl
ZINC000005181061,O=[P@@]1(NCCCl)OCC[C@@H](O)N1CCCl
ZINC000005197198,CC(=O)Nc1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1
ZINC000005239470,CN(CCCC(=O)c1cccnc1)N=O
ZINC000005239470,CN(CCCC(=O)c1cccnc1)N=O
ZINC000005360194,CC(C)CC(=O)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000005419310,C[N+]1([O-])CCC[C@H]1c1cccnc1
ZINC000005419315,C[N+]1=CCC[C@@H]1c1cccnc1
ZINC000005423072,CN1C(C(=O)Nc2ccc(O)cn2)=C(O)c2sc(Cl)cc2S1(=O)=O
ZINC000005509740,CCCC(CCC)C(=O)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000005760151,CC(C)Cc1ccc([C@@H](C)C(=O)O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1
ZINC000005760164,CC(C)Cc1ccc([C@H](C)C(=O)O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1
ZINC000005761248,CNCCC[C@](C#N)(c1ccc(OC)c(OC)c1)C(C)C
ZINC000005761473,CNCCC[C@@](C#N)(c1ccc(OC)c(OC)c1)C(C)C
ZINC000005764534,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
ZINC000005783565,Cn1c(=O)n(C)c2c(=O)[nH]c(O)nc21
ZINC000005838789,CCC[C@@H](CCCO)C(=O)O
ZINC000005838947,CCC[C@@H](C[C@@H](C)O)C(=O)O
ZINC000005838977,CCC[C@@H](C[C@H](C)O)C(=O)O
ZINC000005839270,CCC[C@H](C(=O)O)[C@H](O)CC
ZINC000005839426,CCC[C@H](C(=O)O)[C@@H](O)CC
ZINC000005840786,C/C=C/[C@@H](CCC)C(=O)O
ZINC000005841914,C=CC[C@@H](CCC)C(=O)O
ZINC000005842326,CCC[C@H](C[C@H](C)O)C(=O)O
ZINC000005842751,CCC[C@@H](C(=O)O)[C@@H](O)CC
ZINC000005861416,CCO[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000005923859,CC[C@@]1(c2ccc(O)cc2)NC(=O)N(C)C1=O
ZINC000005933760,O=C1Nc2c(CO)ccnc2N(C2CC2)c2ncccc21
ZINC000005934232,O=C(O)[C@@H](c1ccccc1)[C@H]1CCCCN1
ZINC000005934430,O=C(O)[C@H](c1ccccc1)[C@@H]1CCCCN1
ZINC000005934432,O=C(O)[C@H](c1ccccc1)[C@H]1CCCCN1
ZINC000005967123,CN1C(=O)CC[C@H]1c1ccc[n+]([O-])c1
ZINC000005978046,CCCCCC(=O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1CC(=O)CCCCC(=O)O
ZINC000005996320,CNCCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
ZINC000005996324,CNCCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
ZINC000006019305,COc1ccccc1OCCNC[C@H](O)COc1ccc(O)c2[nH]c3ccccc3c12
ZINC000006032027,CN1C(=O)NC(=O)[C@](C)(C2=C[C@H](O)CCC2)C1=O
ZINC000006032028,CN1C(=O)NC(=O)[C@](C)(C2=C[C@@H](O)CCC2)C1=O
ZINC000006032030,CN1C(=O)NC(=O)[C@](C)([C@@]23CCCC[C@@H]2O3)C1=O
ZINC000006037131,C[C@@H](C(=O)O)c1ccc2cc(O)ccc2c1
ZINC000006067251,CN1C(=O)NC(=O)[C@@](C)(C2=C[C@H](O)CCC2)C1=O
ZINC000006067252,CN1C(=O)NC(=O)[C@@](C)(C2=C[C@@H](O)CCC2)C1=O
ZINC000006067254,CN1C(=O)NC(=O)[C@@](C)([C@@]23CCCC[C@@H]2O3)C1=O
ZINC000006072259,Cn1c(CO)cc(=O)n1-c1ccccc1
