@relation hetero_trainingSetWithClass

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute piPC3 numeric
@attribute AMW numeric
@attribute Class {0,1}

@data
1034.620425,-0.130255,-0.018323,0.795278,1.199644,0.741851,0.845272,0.823352,0.979288,0.848801,16.001682,3.856819,58.08,4.694019,0.952053,0.966249,4.356709,9.036904,1
3759.644776,-1.396329,-0.186564,1.081905,0.782911,1.021409,1.087389,0.716326,1.073684,0.927833,34.97201,6.132879,134.08,5.080274,0.951487,0.96119,4.65396,10.948238,1
5255.06303,-2.347984,-0.044539,0.692637,0.897478,0.877983,1.057368,0.909244,0.057859,0.056024,39.962593,-0.000008,762.23,5.33921,0.782855,0.782855,5.720312,8.480029,1
948.653389,-0.404047,-0.065136,1.049818,0.935548,0.908093,1.702528,1.393948,1.175545,1.138869,16.001383,3.796299,13.06,4.105389,0.895403,0.895403,3.637586,7.711668,1
2172.732952,-0.397581,-0.054471,1.077145,0.95405,0.948895,0.659178,0.874675,1.154495,0.99546,15.998269,4.809368,304.03,5.424006,0.899073,0.894152,4.890349,6.406967,1
1297.044241,-0.091494,-0.075526,1.001659,1.019331,1.056172,0.835485,1.294222,0.921489,1.076386,14.003084,5.746145,109.01,4.308751,0.781392,0.799054,4.564348,6.551605,1
50570.383869,-0.39614,-0.050256,0.972304,1.215408,1.276669,1.085994,0.835819,0.700306,1.169745,126.907474,4.264632,73.09,4.900712,0.966578,0.955438,4.521789,22.191049,1
917.562473,-0.268277,-0.040007,0.890227,1.232084,0.758477,0.923793,0.767914,0.907317,0.979602,16.001679,2.882765,15.07,4.418296,0.963649,0.963649,3.713572,8.794138,1
1429.458524,0.553456,0.086293,0.960171,1.271984,0.530617,1.08485,0.387073,1.30971,0.998889,15.996931,5.026643,64.07,4.560667,0.822786,0.86288,4.430817,7.439433,1
902.189546,-0.298347,-0.048094,0.859124,1.467049,1.70425,0.72527,1.64521,1.165757,0.941115,15.998707,5.474698,89.03,3.865999,0.813058,0.813058,4.51086,8.372703,1
2008.844896,0.013087,0.004273,0.82491,0.967288,1.222399,1.281062,1.063642,0.831929,0.980751,34.968854,6.849539,184.03,4.150913,0.781947,0.769783,4.795791,8.193048,1
13055.087787,0.475034,0.035721,0.497386,0.418759,1.122634,1.077865,1.314326,0.989,0.633592,78.919338,3.499993,169.07,5.091362,0.801951,0.819937,4.543295,7.961354,1
3846.138407,-0.841105,-0.089014,0.753943,0.980336,0.877054,0.536609,0.74901,1.058989,1.045924,34.969856,1.437995,154.09,4.740546,0.823743,0.823743,4.762174,8.631476,1
3432.213124,-0.404793,-0.039198,0.789702,0.983985,0.961735,0.981082,1.131829,1.062518,0.979984,34.970157,4.488352,219.07,5.271487,0.903752,0.903752,4.644391,7.844702,1
1967.919826,0.066322,0.033022,1.1114,1.186442,1.236307,0.861398,0.837212,0.783497,1.261025,31.972072,5.866342,109.03,4.350342,0.80172,0.80172,4.394449,6.93373,1
2247.704719,0.31868,0.051592,0.831607,0.898189,1.441621,1.291956,0.899712,1.175094,0.651515,34.970156,4.35004,58.05,4.625054,0.952053,0.952053,4.406719,10.138237,1
4995.11048,0.45295,0.01165,1.12537,1.067824,1.028714,1.107483,0.994184,1.045382,1.132416,16.009393,4.230102,294.17,6.353976,0.899326,0.899221,4.836282,6.242721,1
3298.956579,-0.898715,-0.067978,0.788633,0.915527,1.270054,0.617979,1.613218,0.909116,1.010921,34.969381,7.02147,119.1,4.674625,0.87253,0.87253,4.51086,9.244945,1
