@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithoutNans50

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
1645.139214,-1.472197,1.176289,1.318003,1.212324,1.033641,31.972072,4.792889,58.08,4.542748,0.91695,9.034291,736,1
2125.960699,-2.218887,0.922864,0.817619,0.451213,0.841164,31.972073,4.173262,149.11,5.048017,0.930293,9.885249,2544,1
1034.620425,-0.130255,0.795278,0.741851,0.823352,0.848801,16.001682,3.856819,58.08,4.694019,0.966249,9.036904,748,1
3759.644776,-1.396329,1.081905,1.021409,0.716326,0.927833,34.97201,6.132879,134.08,5.080274,0.96119,10.948238,1794,1
5255.06303,-2.347984,0.692637,0.877983,0.909244,0.056024,39.962593,-0.000008,762.23,5.33921,0.782855,8.480029,1155000003833,1
948.653389,-0.404047,1.049818,0.908093,1.393948,1.138869,16.001383,3.796299,13.06,4.105389,0.895403,7.711668,241,1
2172.732952,-0.397581,1.077145,0.948895,0.874675,0.99546,15.998269,4.809368,304.03,5.424006,0.894152,6.406967,2590,1
1297.044241,-0.091494,1.001659,1.056172,1.294222,1.076386,14.003084,5.746145,109.01,4.308751,0.799054,6.551605,882,1
50570.383869,-0.39614,0.972304,1.276669,0.835819,1.169745,126.907474,4.264632,73.09,4.900712,0.955438,22.191049,1438,1
917.562473,-0.268277,0.890227,0.758477,0.767914,0.979602,16.001679,2.882765,15.07,4.418296,0.963649,8.794138,444,1
1429.458524,0.553456,0.960171,0.530617,0.387073,0.998889,15.996931,5.026643,64.07,4.560667,0.86288,7.439433,946,1
902.189546,-0.298347,0.859124,1.70425,1.64521,0.941115,15.998707,5.474698,89.03,3.865999,0.813058,8.372703,450,1
2008.844896,0.013087,0.82491,1.222399,1.063642,0.980751,34.968854,6.849539,184.03,4.150913,0.769783,8.193048,1225,1
13055.087787,0.475034,0.497386,1.122634,1.314326,0.633592,78.919338,3.499993,169.07,5.091362,0.819937,7.961354,32000003283,1
3846.138407,-0.841105,0.753943,0.877054,0.74901,1.045924,34.969856,1.437995,154.09,4.740546,0.823743,8.631476,57000002287,1
3432.213124,-0.404793,0.789702,0.961735,1.131829,0.979984,34.970157,4.488352,219.07,5.271487,0.903752,7.844702,3204,1
1967.919826,0.066322,1.1114,1.236307,0.837212,1.261025,31.972072,5.866342,109.03,4.350342,0.80172,6.93373,880,1
2247.704719,0.31868,0.831607,1.441621,0.899712,0.651515,34.970156,4.35004,58.05,4.625054,0.952053,10.138237,682,1
4995.11048,0.45295,1.12537,1.028714,0.994184,1.132416,16.009393,4.230102,294.17,6.353976,0.899221,6.242721,12923,1
3298.956579,-0.898715,0.788633,1.270054,1.613218,1.010921,34.969381,7.02147,119.1,4.674625,0.87253,9.244945,1153,1
1290.488102,-0.040767,1.020812,0.966336,0.998117,1.0264,14.014361,6.418556,177.02,5.201841,0.964676,7.384452,1367,1
1993.768445,0.821974,1.016913,0.871939,0.814358,1.006837,16.000006,4.537215,191.05,5.351823,0.92156,6.468024,1425,1
1184.385669,-0.306723,0.792556,0.901494,0.927103,0.837429,19.001257,3.601624,61.06,4.681728,0.954113,9.368879,828,1
