@relation amps_padel2d_WithoutNans50_WithoutNames

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
1281.518861,2.101358,0.713648,0.984792,1.178681,0.958148,31.972092,3.918851,9595.33,7.22865,0.844247,7.151257,3511636,1
8381.453462,-3.477992,0.977138,1.036424,0.997632,0.931456,31.972077,3.839478,103.41,6.398545,0.837876,7.460473,80370,1
9382.681254,2.444193,0.952064,1.0955,1.200662,0.949423,31.972077,3.911895,108.4,6.130517,0.780164,6.783944,103252,1
11277.302598,2.243003,0.947684,1.077402,1.319221,0.930972,31.973085,4.43148,1249.47,6.90951,0.853233,7.124056,177132,1
7790.654949,3.570418,0.970297,1.118939,1.259136,0.96145,16.011605,4.129086,98.32,6.088523,0.788557,6.577459,71992,1
1574.754736,0.170008,0.672063,0.938962,1.226339,0.896316,31.974105,4.119708,211.8,6.354605,0.823018,6.983074,681688,1
8114.217634,4.333956,0.975212,1.141882,1.333677,0.979607,16.009618,4.415541,101.32,5.881936,0.753384,6.383654,81876,1
12485.187347,6.332653,0.963948,1.132054,1.553907,0.974227,16.014023,4.491798,2181.47,6.504329,0.769258,6.551125,298010,1
356.629445,0.298151,0.884219,1.13942,1.139432,0.95952,16.021125,4.104114,454.53,6.1917,0.855396,6.688354,245846,1
6990.461703,1.879304,0.97477,1.108091,1.303999,1.034849,16.007576,4.095991,85.32,5.969108,0.78933,6.485705,49902,1
14286.8791,3.146194,1.011712,1.106289,1.306624,1.034298,16.02865,3.908696,929.65,6.586183,0.768189,6.859486,506772,1
12713.300816,3.198183,0.972595,1.071746,1.266796,0.989279,31.972079,4.121966,153.56,6.246517,0.749799,6.808184,284265,1
297.284286,1.08627,0.882198,1.225249,1.226287,1.059083,16.014895,4.388949,704.44,6.156034,0.863486,6.490972,188021,1
