@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithouNans50_WithoutNames

@attribute ATS1m numeric
@attribute AATS5m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTc-1l numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute Class {0,1}

@data
8640.223625,68.835931,3593.659897,-1.606601,0.011051,-0.025515,-0.055948,1.70541,0.977783,0.926391,0.998519,0.951852,0.969001,1.079507,1.014672,1.052642,16.004044,-0.394606,4.186023,688.274805,27.070197,6.22208,0.942588,0.956097,17.87559,0.387755,361.26608,12.218816,7.53105,1
3831.029062,49.63697,1429.458524,0.553456,-0.174582,-0.080008,0.086293,1.578169,0.960171,1.271984,0.530617,1.556655,1.08485,0.387073,1.30971,0.998889,15.996931,-0.34689,5.026643,150.353015,7.38617,4.560667,0.822786,0.86288,16.157313,0.454545,93.219938,11.572825,7.439433,1
9804.367841,57.807286,4471.375685,-1.456292,0.026034,-0.05475,-0.086564,1.45181,0.960997,0.867635,1.066743,0.991053,0.969148,1.042778,1.111765,0.994378,34.970159,-0.343302,5.335942,681.716321,18.91811,5.827889,0.904538,0.904538,18.943939,0.272727,510.293236,12.739248,8.094705,1
10873.512128,46.146298,4995.11048,0.45295,-0.000415,-0.046661,0.01165,1.439786,1.12537,1.067824,1.028714,1.109778,1.107483,0.994184,1.045382,1.132416,16.009393,-0.407541,4.230102,709.782713,38.045183,6.353976,0.899326,0.899221,13.665087,0.533333,464.093048,12.876107,6.242721,1
3759.259305,86.216807,1683.78716,-0.77326,0.086447,-0.084813,-0.086988,1.593278,1.014233,0.848473,1.25206,1.074778,1.092274,1.028453,1.340162,0.98946,31.972072,-0.345678,3.967071,124.787499,9.725063,4.548394,0.92694,0.92694,22.640482,0.368421,68.342425,11.898276,9.068223,1
3266.50803,67.736206,1528.187094,-0.718316,-0.090101,-0.121118,-0.1087,1.647466,1.109499,1.04287,0.910814,1.293802,0.740918,1.224934,0.960037,0.854166,31.972072,-0.392252,4.660692,89.501574,8.782737,4.46967,0.950905,0.950905,23.371426,0.25,51.05277,11.23378,8.809697,1
1530.706113,38.187973,488.292557,-0.066199,-0.208268,-0.19653,-0.031789,1.445557,1.084344,1.236588,0,1.292005,1.19992,0,1.197821,0.959633,15.994917,-0.289282,4.227027,36.088724,3.988847,3.521641,0.962479,0.924957,17.919297,0.222222,20.071097,9.957265,8.788804,1
5469.399595,84.147631,2559.727966,-1.196751,0.007748,-0.34428,-0.093319,1.503274,1.360027,0.974799,0.805969,1.480703,1.232429,0.809411,0.924417,0.930705,31.973073,-0.331487,4.700761,193.76325,7.218611,4.930484,0.920287,0.920287,23.165171,0.37037,121.509848,12.43552,9.366951,1
4634.540463,70.802223,1744.495679,0.45532,-0.024677,0.126309,0.028341,1.38896,0.768698,1.091592,1.448684,1.303036,1.480808,1.4524,1.074658,1.190611,18.999411,-0.346489,4.48688,237.935653,7.261404,5.061482,0.927108,0.927108,18.663712,0.296296,113.063586,12.245346,7.980442,1
4967.725482,88.19829,1830.366503,-1.689087,-0.349004,-0.103479,-0.223585,1.762615,1.12795,0.852341,1.474588,1.263454,1.029752,1.03591,1.082196,1.086576,31.972072,-0.347638,4.790011,145.647863,8.111627,4.629004,0.913607,0.902466,22.300473,0.363636,94.271453,11.567556,8.859245,1
