@relation hetero_trainingSetWithClass-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.027058,0.354054,0.535895,0.349369,0.353506,0.33627,0.185692,0.525075,0.005433,0.551169,0.81776,0.159822,0,1
0.021023,0.392077,0.561941,0.294429,0.345607,0.329793,0.185692,0.76328,0.002207,0.497214,0.811364,0.136725,0,1
0.020464,0.413728,0.635819,0.28063,0.295182,0.373588,0.017642,0.743713,0.005644,0.571969,0.781886,0.07355,0,1
0.021571,0.429619,0.585149,0.339885,0.43698,0.557452,0.159149,0.403485,0.005222,0.554017,0.903351,0.254244,0,1
0.009183,0.415193,0.566899,0.239992,0.253041,0.277234,0.017687,0.454855,0.002336,0.519697,0.95813,0.255348,0,1
0.036595,0.379724,0.56308,0.217777,0.179626,0.286465,0.185711,0.792439,0.005009,0.560085,0.914153,0.268909,0,1
0.017657,0.314039,0.494447,0.261989,0.209744,0.384979,0.159149,0.501466,0.002464,0.519452,0.904727,0.247519,0,1
0.021638,0.366964,0.650283,0.275482,0.197004,0.304567,0.159149,0.753216,0.002335,0.503918,0.796823,0.135923,0,1
0.019605,0.402638,0.598561,0.24258,0.223587,0.447747,0.159149,0.749201,0.004159,0.443537,0.698598,0.130958,0,1
0.026382,0.397753,0.602696,0.262805,0.329534,0.38519,0.017671,0.744432,0.010523,0.570918,0.716512,0.083847,0,1
0.028287,0.397064,0.611535,0.278692,0.221131,0.272773,0.185696,0.739046,0.004583,0.521912,0.837143,0.192265,0,1
0.054544,0.380196,0.499347,0.230221,0.112176,0.378274,0.159162,0.811366,0.040017,0.627466,0.705871,0.166333,0.191796,1
0.044295,0.358927,0.498695,0.251628,0.286013,0.420635,0.017731,0.560785,0.027416,0.762032,0.893284,0.139755,0,1
0.01792,0.344298,0.886959,0.188422,0.282014,0.374789,0.159149,0.644019,0.004162,0.510897,0.900877,0.249708,0,1
0.011107,0.390181,0.522786,0.190555,0.468401,0.63272,0.159149,0.542092,0.001573,0.425941,0.931759,0.318878,0,1
0.01362,0.406083,0.466647,0.354328,0.37804,0.338663,0.017642,0.587504,0.006367,0.544008,0.885536,0.143177,0,1
0.018565,0.386283,0.656095,0.255798,0.285781,0.342039,0.017642,0.830701,0.00959,0.597706,0.850276,0.066093,0,1
0.032229,0.389367,0.549212,0.257173,0.315135,0.326605,0.185696,0.763825,0.007554,0.542357,0.802994,0.157687,0,1
0.013141,0.396456,0.499536,0.223137,0.25066,0.461462,0.017671,0.636771,0.002334,0.373,0.573907,0.110078,0,1
0.010345,0.373596,0.402259,0.186562,0.25187,0.434165,0.017694,0.681951,0.007555,0.431573,0.720718,0.258461,0,1
0.017855,0.381926,0.515524,0.178377,0.107522,0.402927,0.185696,0.740839,0.001953,0.47189,0.852193,0.19187,0,1
0.034952,0.423447,0.530527,0.300973,0.358624,0.371917,0.159158,0.555682,0.011123,0.632154,0.888407,0.243401,0,1
0.022875,0.397281,0.490459,0.239596,0.282513,0.490777,0.159149,0.593367,0.007555,0.525574,0.818269,0.201005,0,1
0.017561,0.348747,0.715993,0.247639,0.360912,0.308594,0.159149,0.510022,0.000427,0.446674,0.81672,0.204927,0,1
0.022889,0.397805,0.618104,0.371355,0.29216,0.469548,0.159149,0.655553,0.004796,0.533717,0.802189,0.124626,0,1
0.016069,0.392593,0.413886,0.351859,0.427804,0.437998,0.044243,0.591884,0.007258,0.51311,0.804662,0.171742,0,1
0.163465,0.405076,0.541091,0.828796,0.017532,0.314189,0.999956,0.870454,0.001444,0.433465,1,0.644768,0,1
0.034915,0.444526,0.486041,0.343405,0.434391,0.380406,0.159158,0.61332,0.009637,0.590736,0.838983,0.207762,0,1
0.025209,0.416194,0.508583,0.255902,0.368111,0.418834,0.159158,0.606655,0.005435,0.5842,0.957076,0.289015,0,1
0.023459,0.389042,0.541429,0.2525,0.274669,0.541572,0.159149,0.566487,0.005221,0.585981,0.898377,0.167723,0,1
0.026643,0.446909,0.354001,0.468114,0.302638,0.420713,0.185703,0.487722,0.000553,0.502018,0.896733,0.268808,0,1
0.023174,0.392349,0.839906,0.215873,0.252622,0.308101,0.159149,0.614618,0.008447,0.556148,0.847565,0.214244,0,1
0.026392,0.402516,0.489294,0.209861,0.208728,0.282398,0.185696,0.750497,0.008148,0.605191,0.894204,0.150305,0,1
0.019153,0.428989,0.537878,0.267097,0.270282,0.324714,0.01768,0.565718,0.00607,0.560302,0.813396,0.15486,0,1
0.060625,0.446994,0.601577,0.239838,0.239175,0.395369,0.017787,0.527404,0.019143,0.813287,0.887118,0.099076,0,1
0.021983,0.389329,0.560982,0.276042,0.330916,0.354629,0.00006,0.786532,0.009336,0.605622,0.815338,0.092832,0,1
0.005356,0.38152,0.434051,0.469937,0.51498,0.59723,0.01765,0.584056,0.001573,0.40435,0.884761,0.266743,0,1
0.027042,0.351171,0.472968,0.267165,0.230282,0.407493,0.0443,0.483898,0.011122,0.605464,0.851283,0.240975,0,1
0.018944,0.396433,0.465654,0.365151,0.414708,0.431123,0.159149,0.817592,0.004583,0.562055,0.91766,0.171236,0,1
0.02869,0.374086,0.607121,0.193478,0.235958,0.348499,0.159149,0.673568,0.009337,0.625045,0.882728,0.157226,0,1
0.033365,0.41513,0.272247,0.249332,0.389868,0.477986,0.1857,0.357991,0.005434,0.522757,0.805559,0.236053,0.004006,1
0.026231,0.387198,0.458841,0.177421,0.114017,0.36258,0.185692,0.606195,0.008148,0.568087,0.839285,0.159141,0,1
0.045852,0.260854,0.553809,0.176933,0.144698,0.276427,0.159158,0.566555,0.001364,0.433734,0.512972,0.172354,0.063932,1
0.467004,0.398602,0.480682,0.392357,0.274447,0.282328,0.999973,0.612347,0.000468,0.472375,0.866491,0.78807,0,1
0.028376,0.504099,0.574002,0.287492,0.276276,0.416634,0.017701,0.682191,0.006496,0.656794,0.880624,0.103487,0,1
0.02222,0.423161,0.502494,0.263527,0.227717,0.367062,0.017687,0.654922,0.01303,0.585884,0.819838,0.166254,0,1
0.022489,0.395275,0.547105,0.194397,0.1973,0.307438,0.185696,0.777673,0.004371,0.443115,0.682545,0.133194,0,1
0.053058,0.274148,0.623623,0.252758,0.254795,0.457127,0.017767,0.530083,0.017063,0.742434,0.827566,0.102578,0,1
0.018125,0.401648,0.602871,0.259914,0.306912,0.374464,0.000009,0.864153,0.008444,0.533382,0.746073,0.103381,0,1
0.031474,0.411921,0.572538,0.251082,0.296908,0.343836,0.017642,0.62424,0.004499,0.551212,0.637765,0.05029,0,1
0.027438,0.382054,0.630044,0.300672,0.277346,0.39511,0.185711,0.711558,0.001953,0.420147,0.839186,0.386638,0,1
0.015515,0.410613,0.576893,0.272439,0.254492,0.33814,0.017642,0.731295,0.004796,0.545089,0.828731,0.111005,0,1
0.033375,0.434796,0.625587,0,0,0.143944,0.185709,0.515817,0.000215,0.113427,0.2515,0.428332,0,1
0.03301,0.497031,0.532258,0.423082,0.40244,0.353738,0.159149,0.52216,0.011715,0.627912,0.835989,0.183314,0,1
0.021072,0.417104,0.484686,0.24267,0.288212,0.369153,0.017668,0.695284,0.014175,0.670052,0.949014,0.185919,0,1
0.022788,0.400877,0.535693,0.20164,0.177898,0.263405,0.185696,0.798125,0.00696,0.528326,0.823039,0.154877,0,1
0.030596,0.378342,0.771511,0.310126,0.29381,0.307518,0.159149,0.515935,0.006708,0.608894,0.851209,0.171737,0,1
0.030109,0.5222,0.530093,0.271222,0.255783,0.363169,0.017713,0.577897,0.006709,0.673731,0.902038,0.113641,0,1
0.021831,0.426929,0.541266,0.25351,0.22222,0.406077,0.044243,0.653023,0.008148,0.614501,0.877482,0.110824,0,1
0.020698,0.378031,0.550798,0.270659,0.313975,0.37115,0.044258,0.525117,0.008743,0.583457,0.833045,0.135247,0,1
0.019862,0.383941,0.593428,0.254652,0.25065,0.386005,0.017659,0.586561,0.007553,0.605406,0.856894,0.075369,0,1
0.028634,0.392335,0.606862,0.215977,0.232688,0.380121,0.159165,0.510118,0.00586,0.590155,0.921699,0.2657,0,1
0.089933,0.442191,0.474681,0.251274,0.313611,0.361827,0.159156,0.654102,0.003408,0.609701,0.557735,0.110007,0.065695,1
0.035216,0.365288,0.528411,0.238668,0.304098,0.377707,0.159149,0.61447,0.016085,0.672107,0.877199,0.165942,0,1
0.12506,0.409597,0.474146,0.221102,0.149787,0.397358,0.574957,0.762037,0.004584,0.527706,0.908312,0.408123,0,1
0.025378,0.378681,0.550416,0.247431,0.280184,0.379033,0.044263,0.536701,0.013792,0.580038,0.770816,0.13604,0,1
0.027883,0.396776,0.54547,0.243928,0.212407,0.380573,0.01768,0.597166,0.011118,0.601896,0.763156,0.104449,0,1
0.052606,0.396622,0.362316,0.187055,0.169202,0.289605,0.185709,0.357861,0.003482,0.529941,0.740497,0.200268,0.008813,1
0.011899,0.348407,0.674845,0.215473,0.25475,0.394055,0.01765,0.695142,0.001699,0.411318,0.69309,0.087375,0,1
0.042032,0.379663,0.460273,0.251513,0.216192,0.474258,0.159176,0.640212,0.010827,0.619979,0.90523,0.326624,0,1
0.022501,0.355314,0.512676,0.274586,0.280507,0.37792,0.017701,0.510746,0.00361,0.536126,0.750517,0.149973,0,1
0.052697,0.35671,0.516649,0.26094,0.313018,0.438599,0.01774,0.560771,0.030217,0.766642,0.853727,0.120397,0,1
0.027161,0.396078,0.567701,0.209969,0.228038,0.365007,0.185696,0.804047,0.008444,0.535706,0.755342,0.130484,0,1
0.013073,0.260176,0.52865,0.31832,0.291384,0.399083,0.017704,0.540129,0.005646,0.521863,0.84612,0.252874,0,1
0.02099,0.43545,0.411456,0.310611,0.361892,0.387471,0.044243,0.594407,0.011502,0.604467,0.879753,0.155299,0,1
0.093739,0.443686,0.49086,0.223136,0.291391,0.350002,0.185701,0.58223,0.084623,0.886951,0.921627,0.189498,0,1
0.028099,0.410639,0.547456,0.268406,0.270177,0.434229,0.159158,0.473247,0.006285,0.61281,0.952264,0.2858,0,1
0.039818,0.445831,0.464217,0.243073,0.313586,0.344785,0.159158,0.635583,0.017234,0.687949,0.919197,0.24058,0,1
0.018439,0.352797,0.637378,0.250821,0.29605,0.256014,0.159149,0.457097,0.002209,0.5011,0.882444,0.228494,0,1
0.030849,0.39165,0.613106,0.205732,0.283314,0.423808,0.159167,0.642939,0.008746,0.584936,0.929972,0.323341,0,1
0.028839,0.421655,0.367744,0.314982,0.385999,0.365068,0.185703,0.753049,0.004159,0.559321,0.93302,0.190606,0,1
0.010743,0.381181,0.571763,0.268208,0.254017,0.343168,0.017671,0.63197,0.001954,0.460228,0.817378,0.154393,0,1
0.031076,0.392058,0.433499,0.308652,0.413581,0.337451,0.159149,0.683896,0.00904,0.574716,0.781275,0.127414,0.023073,1
0.032625,0.382092,0.621354,0.297554,0.335829,0.348791,0.159149,0.681461,0.01023,0.610866,0.818798,0.146311,0,1
0.471954,0.358434,0.508842,0.31554,0.401644,0.389076,0.999973,0.574501,0.000597,0.496866,0.862605,0.731519,0,1
0.011427,0.418299,0.480425,0.291165,0.343071,0.376669,0.01765,0.626883,0.00208,0.505784,0.867776,0.134963,0,1
0.021666,0.397583,0.887622,0.202317,0.276958,0.352976,0.159149,0.626305,0.004797,0.529743,0.842171,0.185566,0,1
0.020658,0.409895,0.396996,0.291461,0.326927,0.413831,0.017709,0.67855,0.009635,0.614064,0.895515,0.194679,0,1
0.029608,0.395714,0.580879,0.355285,0.309394,0.269503,0.159161,0.780403,0.007257,0.552373,0.826671,0.147474,0,1
0.044327,0.324495,0.442692,0.260176,0.310996,0.398817,0.185692,0.570595,0.014094,0.703361,0.924551,0.249859,0.074027,1
0.043168,0.372347,0.53315,0.277853,0.226056,0.304785,0.18572,0.803785,0.005221,0.568123,0.92846,0.314397,0,1
0.00949,0.402801,0.470258,0.336765,0.400078,0.283287,0.01765,0.611752,0.00034,0.450754,0.824621,0.107744,0,1
0.020279,0.39085,0.561489,0.246048,0.265116,0.38385,0.017659,0.616668,0.00785,0.62372,0.880601,0.080738,0,1
0.063662,0.41145,0.692623,0.045964,0.138575,0.479789,0.58379,0.655031,0.00331,0.470133,0.923789,0.334475,0,1
0.016557,0.39363,0.397785,0.298767,0.26757,0.41004,0.01765,0.654602,0.00259,0.54676,0.831577,0.105333,0,1
0.023405,0.405031,0.839124,0.264791,0.282387,0.351137,0.159149,0.626871,0.005222,0.551841,0.855676,0.193353,0,1
0.020667,0.382721,0.538541,0.229671,0.284889,0.4286,0.017659,0.561189,0.008148,0.62372,0.880601,0.092442,0,1
0.037778,0.578369,0.504282,0.258802,0.266166,0.364561,0.017749,0.579257,0.008408,0.733791,0.933113,0.128255,0,1
0.022119,0.392096,0.555061,0.352389,0.228975,0.586101,0.159149,0.63634,0.005009,0.553772,0.867156,0.17915,0,1
0.040983,0.579225,0.504595,0.255543,0.2783,0.368012,0.017795,0.583915,0.013203,0.748762,0.940137,0.147322,0,1
0.009728,0.38696,0.388636,0.442827,0.498032,0.500474,0.017684,0.572211,0.003948,0.493996,0.908359,0.23194,0,1
0.020532,0.430114,0.573349,0.218302,0.252563,0.410866,0.017675,0.663551,0.008742,0.615058,0.872462,0.119335,0,1
0.030259,0.336027,0.529178,0.257293,0.257783,0.288262,0.159158,0.555171,0.003358,0.539592,0.826839,0.264918,0,1
0.024175,0.365393,0.542529,0.225582,0.231851,0.393773,0.044263,0.536653,0.01341,0.577434,0.780703,0.14233,0,1
0.027372,0.419329,0.381965,0.321421,0.343352,0.355843,0.185703,0.755593,0.003947,0.546147,0.942412,0.207076,0,1
0.032548,0.382669,0.557868,0.269058,0.397151,0.351655,0.000092,0.687496,0.001234,0.498713,0.562055,0.048604,0,1
0.116791,0.461254,0.457259,0.26799,0.312601,0.41587,0.159185,0.586401,0.095106,0.91736,0.926691,0.196562,0,1
0.035926,0.408046,0.362584,0.324786,0.301307,0.272041,0.1857,0.626326,0.000639,0.534678,0.898941,0.275021,0,1
0.050907,0.433256,0.6455,0.254973,0.264096,0.440031,0.017743,0.692155,0.010952,0.760467,0.85196,0.07522,0,1
