@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithouNans50_WithoutNames-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATS1m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.203266,0.03276,0.301463,0.582507,0.555768,0.74309,0.410718,0.486041,0.270511,0.343405,0.325422,0.202663,0.434391,0.421549,0.380406,0.159158,0.61332,0.427646,0.000004,0.643952,0.838983,0.838983,0.254512,0.342857,0.267258,0.65005,0.207762,0,1
0.159209,0.023032,0.265834,0.539796,0.526566,0.682379,0.3965,0.508583,0.341151,0.255902,0.405493,0.206964,0.368111,0.491756,0.418834,0.159158,0.606655,0.300779,0.000003,0.636828,0.957076,0.957076,0.311794,0.321429,0.180422,0.6112,0.289015,0,1
0.158369,0.020992,0.235846,0.649891,0.301823,0.601045,0.349326,0.839906,0.350852,0.215873,0.473653,0.255465,0.252622,0.484617,0.308101,0.159149,0.614618,0.370714,0.000008,0.606248,0.847565,0.847565,0.212251,0.290323,0.20028,0.663924,0.214244,0,1
0.18272,0.028904,0.450009,0.584142,0.669356,0.827222,0.385349,0.511953,0.367035,0.264685,0.325003,0.184139,0.261558,0.472867,0.357229,0.017731,0.577873,0.444097,0.126266,0.724518,0.857412,0.888043,0.153837,0.485714,0.269147,0.624064,0.126495,0,1
0.135253,0.031206,0.264495,0.569296,0.750323,0.66591,0.310937,0.272247,0.417827,0.249332,0.334052,0.247633,0.389868,0.365193,0.477986,0.1857,0.357991,0.316012,0.000004,0.569849,0.810193,0.805559,0.292478,0.25,1,0.635603,0.236053,0.004006,1
0.167763,0.026206,0.376378,0.583862,0.600984,0.806596,0.435306,0.574002,0.395005,0.287492,0.362171,0.200226,0.276276,0.441216,0.416634,0.017701,0.682191,0.407192,0.000009,0.71596,0.866375,0.880624,0.140628,0.454545,0.244132,0.607808,0.103487,0,1
0.334058,0.050943,0.087203,0.597156,0.530555,0.511233,0.373621,0.623623,0.352417,0.252758,0.304682,0.222388,0.254795,0.482479,0.457127,0.017767,0.530083,1,0.000035,0.809316,0.804463,0.827566,0.096412,0.433333,0.622716,0.722851,0.102578,0,1
0.182673,0.028431,0.218232,0.552086,0.427457,0.578892,0.556453,0.771511,0.36595,0.310126,0.47163,0.189777,0.29381,0.510188,0.307518,0.159149,0.515935,0.421739,0.000021,0.663746,0.851209,0.851209,0.196048,0.470588,0.287646,0.64763,0.171737,0,1
0.175554,0.027943,0.399141,0.581818,0.650086,0.797422,0.411347,0.530093,0.373509,0.271222,0.33046,0.174805,0.255783,0.463331,0.363169,0.017713,0.577897,0.42577,0.000011,0.734424,0.874047,0.902038,0.151565,0.470588,0.257345,0.610461,0.113641,0,1
0.173147,0.026464,0.235829,0.569584,0.437032,0.603543,0.475392,0.606862,0.359111,0.215977,0.381123,0.200293,0.232688,0.520976,0.380121,0.159165,0.510118,0.333252,0.000003,0.643319,0.921699,0.921699,0.284629,0.4,0.208091,0.645525,0.2657,0,1
0.530717,0.087901,0.298526,0.672101,0.627903,0.664266,0.553871,0.474681,0.313582,0.251274,0.293742,0.209461,0.313611,0.407371,0.361827,0.159156,0.654102,1,0.000072,0.664625,0.547347,0.557735,0.163046,0.581395,1,0.679429,0.110007,0.065695,1
