@relation trainingSetWithClass-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATS1m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.029373,0.011302,0.458329,0.557017,0.618554,0.824272,0.345347,0.518801,0.361704,0.262584,0.288112,0.154037,0.273839,0.431688,0.342805,0.017677,0.559515,0.123775,0.000003,0.519697,0.95813,0.95813,0.200163,0.388889,0.077141,0.482206,0.199556,0,1
0.023187,0.016656,0.400722,0.644884,0.550763,0.619447,0.29354,0.467342,0.233262,0.519868,0.296215,0.296745,0.394883,0.582735,0.325954,0.185692,0.501774,0.075911,0.000002,0.441342,0.882674,0.882674,0.300112,0.571429,0.051286,0.3864,0.236652,0,1
0.047987,0.020605,0.365124,0.509928,0.392554,0.346016,0.527912,0.732161,0.234798,0.330741,0.418007,0.139613,0.655475,0.491819,0.226555,0.159158,0.751547,0.125787,0.000015,0.451108,0.876464,0.853492,0.322877,0.277778,0.08033,0.440481,0.282317,0,1
0.04248,0.016202,0.315933,0.603312,0.403929,0.304392,0.49759,0.636002,0.310286,0.230093,0.245858,0.190753,0.292469,0.477096,0.359474,0.017668,0.506047,0.248967,0.000003,0.477619,0.742741,0.742741,0.16286,0.5,0.157954,0.463467,0.159318,0,1
0.057669,0.032574,0.41561,0.586558,0.58589,0.662196,0.419894,0.675794,0.379115,0.31235,0.26667,0.148064,0.1977,0.638407,0.490462,0.159149,0.1885,0.290781,0.000004,0.48581,0.649735,0.649735,0.19761,0.428571,1,0.634487,0.140518,0.012979,1
0.087317,0.035851,0.473172,0.63492,0.600889,0.718194,0.400607,0.543332,0.345674,0.244178,0.326936,0.19567,0.273308,0.541751,0.348592,0.017743,0.571057,0.580946,0.00001,0.681615,0.859317,0.871161,0.170153,0.52381,0.355123,0.669991,0.144248,0,1
0.046003,0.017838,0.356649,0.455448,0.448114,0.326349,0.579282,0.66409,0.360994,0.320323,0.471258,0.175915,0.794586,0.503265,0.327086,0.159149,0.750759,0.160314,0.000005,0.487366,0.862605,0.844887,0.230719,0.3,0.09937,0.459827,0.200089,0,1
0.047012,0.016916,0.373542,0.655779,0.500078,0.46718,0.486688,0.636096,0.309395,0.25369,0.33893,0.171867,0.333915,0.552902,0.312187,0.159149,0.610171,0.15897,0.000004,0.491905,0.896733,0.87753,0.261487,0.3,0.105732,0.446614,0.231824,0,1
0.065906,0.028946,0.54057,0.602248,0.659032,0.816718,0.388577,0.519757,0.35289,0.261042,0.313093,0.174748,0.262743,0.458525,0.33946,0.017722,0.55986,0.404884,0.000017,0.675604,0.879452,0.924657,0.154282,0.484848,0.231795,0.604827,0.124937,0,1
0.135873,0.050569,0.359352,0.542986,0.625389,0.583702,0.349768,0.529277,0.300184,0.251018,0.249334,0.200992,0.293668,0.42011,0.444005,0.017731,0.560792,1,0.000016,0.749475,0.840601,0.839297,0.107397,0.287879,0.709312,0.772278,0.119375,0,1
0.14128,0.059485,0.275314,0.463113,0.536686,0.53176,0.357355,0.598533,0.375777,0.261868,0.36284,0.1532,0.302826,0.471936,0.365404,0.017787,0.59323,1,0.000039,0.816249,0.865783,0.896984,0.096675,0.283582,0.968182,0.655615,0.109466,0,1
0.043755,0.016319,0.363382,0.517831,0.481578,0.361091,0.554605,0.651009,0.336351,0.298132,0.447575,0.232795,0.651477,0.501989,0.321196,0.159149,0.749732,0.147148,0.000005,0.48234,0.892262,0.872227,0.246241,0.263158,0.090117,0.44117,0.219704,0,1
0.0845,0.033687,0.405797,0.667941,0.607718,0.641765,0.421854,0.513395,0.303552,0.237471,0.304083,0.192557,0.314032,0.589733,0.420488,0.159158,0.526706,0.565248,0.000024,0.656542,0.936518,0.945587,0.272458,0.368421,0.343765,0.624608,0.244117,0,1
0.042413,0.015747,0.353155,0.512836,0.405773,0.340433,0.470861,0.701204,0.271381,0.28324,0.398041,0.133936,0.576182,0.551161,0.251828,0.159149,0.734225,0.125787,0.000015,0.461977,0.882177,0.860267,0.26485,0.277778,0.08033,0.440481,0.231995,0,1
0.11518,0.050398,0.406581,0.588606,0.579669,0.640006,0.340025,0.622364,0.354303,0.260159,0.317411,0.219129,0.272284,0.495173,0.433051,0.017752,0.692264,1,0.000032,0.747033,0.826378,0.840469,0.089017,0.481481,0.507065,0.698616,0.082593,0,1
0.032537,0.011072,0.373271,0.617459,0.622203,0.537836,0.270199,0.451976,0.316555,0.406652,0.229808,0.274196,0.583683,0.4655,0.454183,0.044243,0.591731,0.257974,0.000007,0.512131,0.915938,0.915938,0.164517,0.190476,0.080233,0.562623,0.199836,0,1
0.25851,0.108756,0.663732,0.584739,0.577842,0.763132,0.471805,0.540889,0.357928,0.270486,0.330309,0.185058,0.261939,0.412859,0.392141,0.159156,0.66296,0.487182,0.010704,0.688043,0.60874,0.61793,0.158987,0.471698,1,0.792214,0.103801,0.568979,1
0.064425,0.022461,0.377438,0.575536,0.549031,0.564144,0.420136,0.531265,0.330224,0.241293,0.362756,0.24631,0.199741,0.5693,0.419183,0.159149,0.509577,0.354685,0.000003,0.59728,0.933977,0.933977,0.259004,0.387097,0.227836,0.602351,0.26216,0,1
0.047124,0.02276,0.442642,0.623911,0.628407,0.760503,0.42464,0.498754,0.35176,0.232553,0.365283,0.232543,0.312339,0.542498,0.384523,0.185696,0.613173,0.280304,0.000003,0.574854,0.930728,0.930728,0.228828,0.307692,0.157239,0.579701,0.215776,0,1
0.05841,0.017282,0.378525,0.583062,0.641452,0.588163,0.330105,0.463278,0.312394,0.26847,0.292418,0.190466,0.284938,0.342289,0.38365,0.044268,0.535588,0.415982,0.000007,0.590155,0.926334,0.921699,0.223189,0.25,0.195681,0.619023,0.23966,0,1
0.018763,0.009258,0.398095,0.630725,0.374265,0.506713,0.477151,0.713479,0.299294,0,0.27773,0.291546,0,0.44245,0.33944,0.000053,0.826434,0.104922,0.000002,0.315452,0.515815,0.515815,0.012454,0.2,0.03322,0.518189,0.035168,0,1
0.046011,0.019694,0.510589,0.550825,0.693152,0.843401,0.362245,0.506236,0.398429,0.2849,0.388541,0.19519,0.276928,0.508419,0.347039,0.017701,0.655796,0.351497,0.000021,0.576256,0.851641,0.874236,0.142006,0.32,0.119166,0.614425,0.129068,0,1
0.050064,0.022064,0.431116,0.617626,0.32775,0.730069,0.435806,0.831143,0.31757,0.266353,0.429385,0.238677,0.306238,0.490089,0.308968,0.159149,0.61418,0.261599,0.000006,0.537333,0.846922,0.846922,0.21434,0.346154,0.155033,0.613446,0.192847,0,1
0.052427,0.018185,0.401182,0.56046,0.632153,0.630313,0.2778,0.462154,0.318433,0.310855,0.326009,0.26653,0.324598,0.496552,0.385954,0.044243,0.593324,0.420582,0.000004,0.538274,0.817124,0.817124,0.172225,0.206897,0.156836,0.626455,0.170009,0,1
0.040357,0.020754,0.388361,0.575234,0.566342,0.576824,0.377705,0.655162,0.411451,0.344139,0.379819,0.175597,0.322634,0.586805,0.415552,0.159149,0.635588,0.180773,0.000003,0.542375,0.902418,0.902418,0.233192,0.47619,0.11374,0.567165,0.182163,0,1
