@relation hetero_trainingSetWithClass

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC6e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC4 numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute Class {0,1}

@data
2247.704719,0.31868,-1.121995,-8.695791,0.04647,0.051592,0.831607,0.898189,1.441621,1.380118,0.899712,1.175094,0.651515,34.970156,4.35004,138.680819,8.227298,4.625054,4.625054,0.952053,0.952053,22.525761,39,10.044553,10.138237,1
4995.11048,0.45295,-0.710159,17.497702,-0.046661,0.01165,1.12537,1.067824,1.028714,1.109778,0.994184,1.045382,1.132416,16.009393,4.230102,709.782713,38.045183,6.354721,6.353976,0.899326,0.899221,13.665087,270,11.269464,6.242721,1
1290.488102,-0.040767,-0.135858,4.997438,-0.087659,-0.023956,1.020812,1.012039,0.966336,0.997408,0.998117,0.939733,1.0264,14.014361,6.418556,197.440671,8.765122,5.154222,5.201841,0.955845,0.964676,9.32069,104,10.257063,7.384452,1
1184.385669,-0.306723,-1.690782,51.384674,0.012004,-0.024197,0.792556,1.084258,0.901494,1.001423,0.927103,0.9891,0.837429,19.001257,3.601624,147.499499,13.489664,4.681728,4.681728,0.954113,0.954113,19.457398,49,10.072428,9.368879,1
1683.78716,-0.77326,-0.010807,-8.140382,-0.084813,-0.086988,1.014233,0.848473,1.25206,1.074778,1.028453,1.340162,0.98946,31.972072,3.967071,124.787499,9.725063,4.548394,4.548394,0.92694,0.92694,22.640482,43,10.398458,9.068223,1
2248.353079,-0.003799,0.386476,23.078913,0.180683,-0.00061,0.900413,0.961561,1.06214,1.06662,1.062796,1.392262,0.987989,31.972072,4.992335,296.780742,6.856203,4.930837,4.930837,0.8782,0.8782,16.15414,147,10.415532,7.268487,1
2559.727966,-1.196751,-2.309255,3.736271,-0.34428,-0.093319,1.360027,0.974799,0.805969,1.480703,0.809411,0.924417,0.930705,31.973073,4.700761,193.76325,7.218611,4.930484,4.930484,0.920287,0.920287,23.165171,106,10.79216,9.366951,1
1744.495679,0.45532,-3.17524,-17.014308,0.126309,0.028341,0.768698,1.091592,1.448684,1.303036,1.4524,1.074658,1.190611,18.999411,4.48688,237.935653,7.261404,5.061482,5.061482,0.927108,0.927108,18.663712,150,10.564318,7.980442,1
1942.652238,0.278238,-0.46715,-3.891049,-0.12002,0.059539,1.153806,1.037533,1.091429,1.484303,1.047561,0.831402,0.972947,15.994922,5.67253,206.468317,8.87942,5.020741,5.053528,0.846563,0.852091,10.646417,84,10.111314,6.004379,1
2035.471377,0.739027,-2.149605,37.76399,-0.129211,0.05303,1.06978,1.270445,1.321883,0.638787,1.550782,0.962777,1.45179,31.972072,3.077052,235.746893,11.163086,4.938998,4.938998,0.93446,0.93446,24.104776,87,10.343225,9.463484,1
